"","bathrooms","bedrooms","price","response","generalKey","day_since_created","Position_Label","dishwasher","doorman","elevator","hardwood","laundry","allowed.cats","cats.allowed","dogs.allowed","fitness.center"
"1",1.5,3,3000,3,1,379,"1",0,0,0,0,0,0,0,0,0
"2",1,2,5465,2,2,391,"5",0,1,1,0,0,0,1,1,1
"3",1,1,2850,1,3,447,"1",1,0,0,1,1,0,0,0,0
"4",1,1,3275,2,4,446,"1",0,0,0,1,0,0,0,0,0
"5",1,4,3350,2,5,436,"7",0,0,0,0,0,0,0,0,0
"6",2,4,7995,3,6,445,"1",0,0,0,0,0,0,0,0,0
"7",1,2,3600,2,7,437,"5",0,0,1,1,0,1,1,1,0
"8",2,1,5645,2,8,451,"1",1,1,1,1,1,0,0,0,0
"9",1,1,1725,3,9,444,"7",0,0,1,0,1,0,1,1,0
"10",2,4,5800,2,10,462,"1",1,0,0,1,0,0,0,0,0
"11",1,0,1950,2,11,450,"5",0,0,0,0,0,0,0,0,0
"12",1,1,1675,2,12,400,"7",1,0,0,1,0,0,0,0,0
"13",1,2,3000,1,13,445,"1",0,1,1,0,1,0,0,0,0
"14",2,2,6895,2,14,455,"5",0,1,0,0,0,1,1,1,1
"15",1,1,3050,2,15,402,"5",1,0,1,1,1,0,0,0,0
"16",1,0,2350,3,16,446,"1",0,1,1,0,1,0,0,0,1
"17",1,2,3650,2,17,442,"1",0,0,0,1,0,0,0,0,0
"18",1,1,1695,2,18,445,"7",0,0,0,1,0,0,0,0,0
"19",1,4,5000,2,19,444,"5",0,0,0,0,0,0,1,1,0
"20",1,1,3973,2,20,455,"1",0,0,0,0,0,0,1,1,0
"21",1,3,4395,2,21,452,"1",1,1,1,1,0,0,0,0,0
"22",1,2,2999,3,22,457,"1",0,0,1,1,1,0,0,0,0
"23",1,1,2595,2,23,451,"1",0,0,0,0,0,0,1,1,0
"24",1,1,3695,2,24,447,"2",1,1,1,0,2,0,1,1,1
"25",2,4,7400,3,25,396,"1",1,1,1,1,1,1,1,1,1
"26",3.5,4,7500,2,26,437,"5",1,1,1,1,2,0,0,0,1
"27",1,1,2295,3,27,439,"5",1,0,0,1,0,0,0,0,0
"28",1,1,3164,2,28,442,"1",1,1,1,1,1,0,0,0,0
"29",1,1,1350,1,29,443,"7",0,0,0,0,0,0,0,0,0
"30",2,2,5600,2,30,438,"5",1,1,1,1,1,0,0,0,1
"31",1,0,2750,3,31,443,"5",0,1,1,0,0,1,1,1,0
"32",1,2,3500,3,32,460,"5",1,1,1,1,1,1,1,1,0
"33",1,1,5165,2,33,442,"2",1,1,1,0,0,0,1,1,0
"34",1,2,4400,2,34,444,"1",1,1,1,1,1,0,0,0,0
"35",1,2,2300,2,35,386,"7",1,0,1,0,0,1,1,1,0
"36",1,1,1650,2,36,446,"5",0,0,0,1,0,1,1,1,0
"37",1,0,1300,2,37,460,"7",0,0,0,1,0,1,1,1,0
"38",1,0,1980,1,38,447,"5",1,1,1,0,0,1,1,1,0
"39",2,2,6500,2,39,458,"1",1,0,1,1,1,0,0,0,0
"40",1,0,2396,3,40,374,"1",1,1,1,1,2,1,1,1,1
"41",1,3,3733,2,41,446,"1",0,0,0,0,0,0,0,0,0
"42",3,4,15000,2,42,452,"5",1,1,1,1,2,1,1,1,1
"43",1,0,2400,3,43,445,"5",1,0,1,1,0,0,0,0,0
"44",1,0,1850,3,44,435,"5",1,0,1,1,1,0,0,0,0
"45",1,1,2500,2,45,455,"5",0,0,0,0,0,0,0,0,0
"46",1,1,2045,3,46,439,"5",0,0,0,0,0,0,1,1,0
"47",1,0,2650,2,47,435,"1",1,0,1,1,1,0,0,0,0
"48",1,2,3745,2,48,455,"1",1,1,1,0,0,1,1,1,0
"49",1,1,1900,2,49,382,"5",0,0,0,0,0,0,0,0,0
"50",1,2,5595,2,50,453,"1",1,1,1,1,1,0,1,1,0
"51",1,1,1750,2,51,443,"6",0,0,1,0,1,0,0,0,0
"52",1,1,1650,3,52,434,"6",0,0,1,0,0,0,0,0,0
"53",1,0,3500,2,53,452,"5",1,1,1,1,2,0,0,0,0
"54",1,1,3300,2,54,455,"5",1,1,1,1,1,0,0,0,1
"55",1,0,2790,2,55,462,"1",1,1,1,1,0,0,0,0,0
"56",2,2,2100,3,56,452,"6",0,0,0,0,0,0,0,0,0
"57",1,2,3200,3,57,443,"5",1,0,1,0,0,0,0,0,0
"58",1,0,2700,2,58,438,"5",0,0,0,0,0,0,0,0,0
"59",1,3,4500,3,59,438,"1",0,1,1,0,1,0,1,1,0
"60",1,1,2000,2,60,395,"2",0,0,0,1,0,0,0,0,0
"61",1,2,1900,3,61,441,"6",0,0,0,0,0,0,0,0,0
"62",1,1,3200,3,62,444,"5",0,1,1,0,2,0,0,0,0
"63",1,0,2290,2,63,451,"5",0,0,1,1,1,1,1,1,0
"64",1,2,3895,2,64,453,"1",0,0,1,0,1,1,1,1,0
"65",1,1,2200,1,65,434,"5",0,0,1,1,1,0,0,0,0
"66",1,1,3200,2,66,449,"1",0,1,0,0,0,0,1,1,1
"67",1,1,4455,2,67,449,"1",1,1,1,1,1,0,0,0,1
"68",1,1,3697,2,68,445,"1",0,1,1,0,1,0,1,1,1
"69",2,2,5700,1,69,456,"1",1,1,1,1,2,0,0,0,1
"70",1,2,3400,3,70,437,"1",1,1,1,1,1,0,0,0,1
"71",1,1,2550,2,71,449,"1",1,0,1,0,0,0,1,1,0
"72",1,2,3200,2,72,445,"5",1,0,0,1,1,0,0,0,0
"73",2,3,6320,2,73,454,"2",1,1,1,0,2,1,1,1,0
"74",1,1,2945,2,74,446,"5",0,0,1,0,0,0,1,1,0
"75",2,2,4600,2,75,444,"2",1,1,1,1,1,0,0,0,1
"76",2,2,7800,2,76,446,"5",0,1,1,1,0,1,1,1,0
"77",2,2,7000,2,77,450,"5",1,1,0,1,1,1,1,1,1
"78",1,2,3250,3,78,451,"2",1,1,1,1,1,1,1,1,1
"79",1,0,1400,1,79,449,"6",0,0,0,0,0,0,0,0,0
"80",1,1,3195,2,80,435,"5",1,1,1,1,1,0,1,0,1
"81",1,1,1495,1,81,450,"2",0,0,0,0,0,0,0,0,0
"82",1,1,3850,2,82,461,"1",1,1,1,1,1,0,0,0,0
"83",1,0,2625,2,83,379,"5",0,0,0,0,0,0,0,0,0
"84",1,3,2500,1,84,391,"7",0,0,1,0,0,0,0,0,0
"85",1,2,3095,2,85,444,"5",0,0,0,0,0,1,1,1,0
"86",3.5,4,13500,2,86,455,"5",1,1,0,1,2,0,0,0,0
"87",1,2,1700,2,87,455,"6",0,0,0,0,0,0,0,0,0
"88",1,0,1850,3,88,458,"5",0,0,0,1,0,0,1,0,0
"89",1,2,2050,1,89,460,"2",0,0,0,0,0,0,0,0,0
"90",1,1,4000,2,90,402,"5",1,1,1,1,2,0,0,0,0
"91",1,0,1950,2,91,448,"5",0,1,0,0,0,0,0,0,0
"92",1,1,2750,2,92,449,"5",0,0,0,1,0,0,0,0,0
"93",2,3,4900,2,93,437,"5",0,0,0,0,0,1,1,1,0
"94",1,3,6500,3,94,451,"1",1,0,0,1,1,0,0,0,0
"95",1,2,2300,3,95,450,"2",0,0,0,0,0,0,1,1,0
"96",1,2,2350,2,96,448,"6",0,0,0,0,0,0,0,0,0
"97",1,2,3900,2,97,446,"1",0,0,1,1,1,0,1,0,0
"98",1,3,4000,1,98,442,"1",1,0,1,1,2,0,0,0,0
"99",2,3,3850,3,99,437,"1",1,1,1,1,1,1,1,1,1
"100",1,1,3995,2,100,443,"1",0,0,1,0,0,0,0,0,0
"101",1,2,2000,3,101,451,"2",0,0,0,0,0,0,0,0,0
"102",2,2,4823,2,102,434,"1",0,1,0,0,0,1,1,1,1
"103",1,1,2700,2,103,449,"5",1,0,0,1,1,1,1,1,0
"104",1,1,2695,3,104,458,"2",1,1,1,0,1,1,1,1,0
"105",1,1,1800,2,105,441,"2",0,0,0,0,0,0,0,0,0
"106",1,2,3295,2,106,447,"1",0,0,1,1,0,0,0,0,0
"107",1,0,1725,2,107,461,"5",0,0,0,0,0,1,1,1,0
"108",1,1,2250,2,108,446,"1",0,0,0,0,0,0,0,0,0
"109",1,1,2300,2,109,462,"5",0,0,0,1,0,0,1,0,0
"110",1,1,3400,2,110,460,"2",0,1,1,0,1,0,1,1,1
"111",1,2,3050,2,111,438,"5",0,0,0,0,0,1,1,1,0
"112",1.5,2,6500,2,112,447,"1",0,0,0,0,0,0,0,0,0
"113",2,2,3250,2,113,453,"2",0,1,0,0,0,0,0,0,0
"114",2,2,5020,2,114,450,"5",0,1,1,0,1,1,1,1,0
"115",1,2,3200,2,115,436,"5",0,0,0,0,0,1,1,1,0
"116",1,1,2199,3,116,435,"1",0,0,0,0,0,0,0,0,0
"117",1,2,1695,1,117,454,"7",0,0,0,0,0,0,0,0,0
"118",1,1,2150,2,118,453,"1",0,0,0,0,0,0,0,0,0
"119",2,2,6475,2,119,438,"5",0,0,0,0,0,0,1,1,0
"120",1,1,2750,3,120,457,"2",1,1,1,1,1,1,1,1,1
"121",2,4,5300,1,121,437,"2",1,1,1,1,2,1,1,1,0
"122",1,1,2195,3,122,450,"5",0,1,1,0,1,0,0,0,0
"123",2,4,5900,3,123,448,"1",0,0,0,1,0,0,0,0,0
"124",1,0,2500,3,124,444,"1",0,1,0,0,0,0,0,0,0
"125",1,2,2750,2,125,438,"5",0,0,0,0,0,0,0,0,0
"126",1,1,3200,3,126,440,"5",1,1,1,1,1,0,1,0,0
"127",1,0,2400,3,127,444,"1",1,1,1,1,0,0,0,0,1
"128",2,3,2000,1,128,445,"6",0,0,0,0,0,0,1,1,0
"129",1,2,3300,3,129,446,"5",0,0,0,0,0,1,1,1,0
"130",1,0,3090,2,130,437,"2",0,1,1,0,1,0,1,1,1
"131",1,3,4895,3,131,457,"1",1,0,0,1,1,1,1,1,0
"132",1,2,5465,2,132,401,"5",0,1,1,0,1,1,1,1,0
"133",1,3,2000,3,133,437,"5",0,0,0,0,0,0,0,0,0
"134",1,0,2700,2,134,443,"1",1,1,0,1,1,0,0,0,1
"135",1,1,2400,2,135,451,"5",0,0,0,1,0,0,0,0,0
"136",1,3,4400,2,136,374,"5",1,1,1,1,1,0,0,0,1
"137",1,1,2795,3,137,459,"1",1,0,0,1,2,0,0,0,0
"138",1,2,2475,2,138,444,"5",0,0,0,0,0,0,0,0,0
"139",2,2,5495,2,139,462,"5",0,1,0,0,0,1,1,1,0
"140",1,0,2900,3,140,447,"1",1,1,1,1,0,1,1,1,0
"141",2,3,3462,2,141,439,"2",0,0,0,1,1,1,1,1,0
"142",2,1,8400,2,142,460,"1",1,1,1,1,0,1,1,1,1
"143",1,1,3150,2,143,443,"1",0,1,0,0,0,0,0,0,0
"144",1,0,2600,2,144,448,"1",1,1,1,1,1,0,0,0,1
"145",1,0,3995,2,145,442,"1",0,1,1,0,1,1,1,1,0
"146",1,1,3600,2,146,447,"1",1,0,1,1,0,1,1,1,0
"147",1,2,5400,1,147,461,"1",1,0,0,1,1,0,0,0,0
"148",1,1,2983,3,148,440,"1",1,1,1,0,1,1,1,1,1
"149",1,1,2400,3,149,458,"5",0,0,0,0,0,0,0,0,0
"150",1,3,13500,2,150,449,"5",1,1,1,1,2,1,1,1,1
"151",1,0,1800,2,151,399,"5",0,0,0,1,1,0,0,0,0
"152",1,1,2700,1,152,445,"5",1,1,1,1,1,1,1,1,0
"153",1,1,2200,2,153,453,"2",0,0,1,0,1,0,0,0,0
"154",1,1,3346,2,154,462,"1",0,1,0,0,0,1,1,1,1
"155",2,3,6000,2,155,434,"5",0,1,1,0,2,0,0,0,0
"156",1,2,2195,2,156,458,"7",1,0,0,1,0,0,0,0,0
"157",1,1,5200,2,157,399,"1",1,1,1,0,1,0,1,1,1
"158",2,3,4500,3,158,438,"2",0,1,1,1,1,0,0,0,1
"159",2,3,2395,3,159,451,"6",0,0,0,0,0,0,0,0,0
"160",1,1,2195,2,160,449,"7",0,1,1,0,1,0,0,0,1
"161",2,2,5200,2,161,444,"5",1,1,1,1,1,0,0,0,0
"162",2,4,5800,1,162,449,"1",1,0,0,1,1,0,0,0,0
"163",1,0,1975,3,163,447,"1",0,0,0,0,0,0,0,0,0
"164",1,0,2750,2,164,452,"1",0,0,0,0,0,0,0,0,0
"165",1,1,3750,2,165,458,"1",1,1,1,0,1,0,1,1,0
"166",2,3,4555,3,166,401,"1",1,1,1,0,2,1,1,1,1
"167",2,2,4890,2,167,443,"1",0,0,0,0,0,0,0,0,0
"168",1,3,4595,2,168,454,"2",0,0,0,0,0,1,1,1,0
"169",1,2,2800,2,169,454,"5",0,0,0,1,0,0,0,0,0
"170",1,1,1800,3,170,441,"2",0,0,0,0,0,0,1,1,0
"171",1,1,3195,2,171,447,"1",0,1,1,0,0,0,0,0,0
"172",1,1,2675,3,172,436,"1",0,1,1,1,0,1,1,1,0
"173",2,2,5450,2,173,435,"1",1,1,1,1,1,1,1,1,1
